FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN
1.034287,1.026882,1.013484,1.009013,1.006697,1.006695,1.007758
73.706521,72.685864,11.731011,49.345066,1.236389,1.214922,1.513535
334.166665,193.08083,110.135133,231.226561,10.959437,2.723862,10.379262
898.138853,649.493502,475.667624,474.060564,50.154374,68.917372,75.116802
824.801133,614.329952,60.039066,109.362393,10.253058,12.521048,10.211158
214.68483,111.535163,50.708547,58.670965,10.941388,7.427158,37.995689
290.270435,228.016333,121.532695,156.283699,5.355695,2.888984,13.556093
956.539725,765.211746,397.573293,690.382716,44.703879,2480.845816,287.716852
222.594888,172.819833,115.545153,125.605117,21.409543,7.806655,26.281625
306.524354,275.878147,77.384963,209.657065,17.024198,4.269357,29.556854
123.727892,147.367658,343.501414,450.264903,2.831008,1.700603,3.299528
232.751001,206.568024,116.209779,139.575059,6.557915,2.6715,2.515997
316.654843,241.536334,87.067141,123.361412,2.036581,1.982143,4.529252
394.803791,335.267969,238.294668,286.466407,2.008491,5.375102,2.832206
152.440826,122.360947,59.90984,91.658203,8.212869,6.459817,6.349932
