FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN
1.034287,1.033122,1.019091,1.027743,1.009068,1.009068,1.009256
73.706521,80.336535,38.701496,81.442574,5.750768,3.76293,1.390294
334.166665,342.163787,199.933469,218.099917,8.361995,8.765195,11.390588
898.138853,836.568723,721.749218,599.214938,105.712207,87.682483,12.191146
824.801133,817.382546,145.185906,475.502042,47.012524,59.404742,40.707912
214.68483,187.378019,122.864804,187.529364,41.501531,41.291128,55.838142
290.270435,255.290985,107.46146,207.965011,26.290545,15.005132,26.6464
956.539725,858.879442,646.331399,787.153086,387.013234,1473.425676,307.919349
222.594888,247.797938,125.871309,221.931364,25.837295,9.942458,32.506695
306.524354,321.701014,174.88414,314.405344,24.113294,27.366409,33.517756
123.727892,92.50628,376.559337,157.549489,11.654892,2.728246,3.875769
232.751001,258.168093,155.246716,218.769385,6.376864,4.659029,3.771507
316.654843,316.346618,141.217821,301.180742,2.404242,2.121475,4.458491
394.803791,407.98819,235.755633,345.077263,3.671274,3.305229,3.163876
152.440826,147.14673,85.291664,129.675043,12.149784,8.588767,8.885826
